"","age","bp_sys1","bp_dia1","pulse1","bp_sys2","bp_dia2","pulse2","bp_sys3","bp_dia3","pulse3","lst_07_tlv","lst_07_n","md_FMaj","md_FMin","md_ATR","md_CST","md_CG","md_CH","md_IFOF","md_ILF","md_SLF","md_UF"
"age",343.400349974034,134.661973097935,19.8520086595144,28.8289318775361,143.367627636242,21.7428091626776,21.0070728077882,138.44304231658,18.3032477614096,13.2732735172347,47.6392396217712,61.3671993705231,12.0292242012133,9.22558389570995,14.5970544630218,4.56804355000241,3.72644262133468,2.53946060775675,7.5648926361404,5.22879147587751,7.81613028022534,4.62216238323944
"bp_sys1",134.661973097935,315.028058160174,120.26796887606,17.1295695358302,266.850350502895,105.973394051311,16.4392043315345,251.778027512998,104.770920590218,11.3638431542461,11.5557948609116,23.6560989943842,4.51766800833961,3.61389634563039,5.51269068357754,1.66894721144379,1.93248431593985,1.00557390301346,2.88920822538818,2.2153995492365,3.0353442340238,2.37722694027786
"bp_dia1",19.8520086595144,120.26796887606,119.611900962762,32.3859117557416,107.179392939742,98.6408107284364,34.3802553023648,103.588619896977,97.1697687993453,31.3378496293087,-5.20494839689173,2.5033792608071,-0.569020594197023,0.176773614408988,0.246887553329087,-0.115290476052586,-0.103388128607556,-0.373284986776317,0.0669826100525734,0.0103908766240034,-0.0297476696074079,0.15084964543799
"pulse1",28.8289318775361,17.1295695358302,32.3859117557416,116.2102793163,20.730808171044,29.8315883509023,108.779465189685,21.2007340197778,27.9862371291671,101.865837496177,15.9138964019851,10.8962060859344,0.681066218798289,1.17374684857112,1.83243200543726,0.426273122126686,0.0542973073396555,0.126406757138002,0.798232111713826,0.269732326190522,0.82562162640019,0.80147169067908
"bp_sys2",143.367627636242,266.850350502895,107.179392939742,20.730808171044,311.568280626526,118.343993806206,16.9547972127926,273.248139463758,111.575288000816,12.5119787949842,26.0527153748204,30.904254277132,5.74585259648245,4.18214150620989,6.52659557806118,1.71899287113445,2.11806251354505,0.86772308910561,3.49324697424356,2.59999579894974,3.54426392848212,2.52040682045511
"bp_dia2",21.7428091626776,105.973394051311,98.6408107284364,29.8315883509023,118.343993806206,117.036376630338,30.6582693109404,111.348404526455,103.835049444388,28.7603731267204,-0.426517973749511,2.01105197858169,-0.294012099499234,0.232145688986349,0.347226696097101,-0.150392986547919,-0.294780300042959,-0.526224279948192,0.167139943158867,0.00857644042420847,-0.0247419319573484,0.0716207745846717
"pulse2",21.0070728077882,16.4392043315345,34.3802553023648,108.779465189685,16.9547972127926,30.6582693109404,121.776963849681,18.4986746865124,29.1587317769395,103.113314303191,10.6269043522267,8.86285425101215,0.376262337379216,1.13814658696725,1.76946534053385,0.319704251223062,-0.127512113284731,0.0146145967581638,0.683031402882772,0.178240070754868,0.694153879014625,0.695946329370804
"bp_sys3",138.44304231658,251.778027512998,103.588619896977,21.2007340197778,273.248139463758,111.348404526455,18.4986746865124,299.831022530329,113.670710571924,14.3890814558059,28.3853156248971,26.8889437477371,5.65558044056676,3.89054526626455,6.15946506416052,1.68438087519213,1.66874883497152,0.656328048028364,3.25850532884285,2.37441884905002,3.25688403026232,2.35299880316573
"bp_dia3",18.3032477614096,104.770920590218,97.1697687993453,27.9862371291671,111.575288000816,103.835049444388,29.1587317769395,113.670710571924,113.67417677643,29.4956672443674,-2.55689750172805,0.0456370758039564,-0.21951801854746,0.114160542409878,0.177200673895354,-0.145237723770714,-0.367169486296062,-0.502288238959999,0.0514663441419219,-0.0377199293168697,-0.123781929949757,-0.00265431557805838
"pulse3",13.2732735172347,11.3638431542461,31.3378496293087,101.865837496177,12.5119787949842,28.7603731267204,103.113314303191,14.3890814558059,29.4956672443674,113.779029462738,8.06419977946743,7.81002929462493,-0.235347096792943,0.607757011482376,0.989451865563205,0.278875993244902,0.0558651813737522,0.230330977713341,0.36692345976002,-0.00938435736150772,0.465163793220361,0.547328379486716
"lst_07_tlv",47.6392396217712,11.5557948609116,-5.20494839689173,15.9138964019851,26.0527153748204,-0.426517973749511,10.6269043522267,28.3853156248971,-2.55689750172805,8.06419977946743,30.4318969278137,17.1527423892989,3.53715202343672,2.10766601682434,3.47161163487141,1.23146771626949,0.813529491856933,0.54358314957693,2.13019361747351,1.37480875749945,2.31897437230553,1.13672863016423
"lst_07_n",61.3671993705231,23.6560989943842,2.5033792608071,10.8962060859344,30.904254277132,2.01105197858169,8.86285425101215,26.8889437477371,0.0456370758039564,7.81002929462493,17.1527423892989,24.3778896244845,2.58312742606669,2.10196850274649,3.33926145758198,1.06579271070299,0.857261239111136,0.465666648865339,1.90743695555679,1.27674733465572,2.11377652444099,1.18342308369861
"md_FMaj",12.0292242012133,4.51766800833961,-0.569020594197023,0.681066218798289,5.74585259648245,-0.294012099499234,0.376262337379216,5.65558044056676,-0.21951801854746,-0.235347096792943,3.53715202343672,2.58312742606669,2.28018205880378,0.722748950387597,1.11598866554765,0.487357477664819,0.905484716187631,0.318388293944668,0.801654558471464,0.738940556149183,0.661704045393849,0.311206773280702
